"id_1","id_2","cmp_fname_c1","cmp_fname_c2","cmp_lname_c1","cmp_lname_c2","cmp_sex","cmp_bd","cmp_bm","cmp_by","cmp_plz","is_match"
37291,53113,0.833333333333333,?,1,?,1,1,1,1,0,TRUE
39086,47614,1,?,1,?,1,1,1,1,1,TRUE
70031,70237,1,?,1,?,1,1,1,1,1,TRUE
84795,97439,1,?,1,?,1,1,1,1,1,TRUE
36950,42116,1,?,1,1,1,1,1,1,1,TRUE
42413,48491,1,?,1,?,1,1,1,1,1,TRUE
25965,64753,1,?,1,?,1,1,1,1,1,TRUE
49451,90407,1,?,1,?,1,1,1,1,0,TRUE
39932,40902,1,?,1,?,1,1,1,1,1,TRUE
46626,47940,1,?,1,?,1,1,1,1,1,TRUE
48948,98379,1,?,1,?,1,1,1,1,1,TRUE
4767,4826,1,?,1,?,1,1,1,1,1,TRUE
45463,69659,1,?,1,?,1,1,1,1,1,TRUE
11367,13169,1,?,1,?,1,1,1,1,1,TRUE
10782,89636,1,?,1,?,1,0,1,1,1,TRUE
26206,39147,1,?,1,?,1,1,1,1,1,TRUE
16662,27083,1,1,1,?,1,1,1,1,1,TRUE
18823,30204,1,1,1,?,1,1,1,1,1,TRUE
38545,85418,1,?,1,?,1,1,1,1,1,TRUE
28963,39172,1,?,1,?,1,1,1,1,1,TRUE
38918,44578,1,?,1,?,1,1,1,1,1,TRUE
23499,40452,1,?,1,?,1,1,1,1,1,TRUE
46469,94155,1,?,1,?,1,1,1,1,1,TRUE
25816,29809,1,?,1,?,1,1,1,1,1,TRUE
28777,39482,1,?,1,?,1,1,1,1,1,TRUE
18914,18916,1,?,1,?,1,1,1,1,1,TRUE
15105,16971,1,?,1,?,1,1,1,1,1,TRUE
75313,76006,1,?,1,?,1,1,1,1,1,TRUE
29624,90371,1,1,1,?,1,1,1,1,1,TRUE
30127,30732,1,?,1,?,1,1,1,1,1,TRUE
3791,61656,1,?,1,?,1,1,1,1,1,TRUE
89734,89736,1,?,1,?,1,1,1,1,1,TRUE
42161,44157,1,?,1,?,1,1,1,1,1,TRUE
94601,94602,1,1,1,?,1,1,1,1,1,TRUE
14532,75581,0.888888888888889,?,1,?,0,1,1,1,?,TRUE
34195,35649,1,1,1,?,1,1,1,1,1,TRUE
13862,99105,1,?,1,?,1,1,1,1,1,TRUE
68990,68991,1,1,1,?,1,1,1,1,1,TRUE
36430,47306,1,?,1,?,1,1,1,1,1,TRUE
20417,87185,1,?,1,?,1,1,1,1,1,TRUE
27458,33456,1,?,1,?,1,1,1,1,1,TRUE
53806,57851,1,?,1,?,1,1,1,1,1,TRUE
30216,69283,1,?,1,?,1,1,1,1,0,TRUE
7275,8294,1,?,1,?,1,1,1,1,1,TRUE
15821,16913,1,?,1,?,1,1,1,1,1,TRUE
31625,38784,1,?,1,?,1,1,1,1,1,TRUE
17146,40456,1,?,1,?,1,1,1,1,1,TRUE
90142,90144,1,?,1,?,1,1,1,1,1,TRUE
16615,29839,1,?,1,?,1,1,1,1,1,TRUE
16628,22975,1,?,1,?,1,1,1,1,1,TRUE
13297,84993,1,?,1,?,1,1,1,1,1,TRUE
44473,44474,1,?,1,?,1,1,1,1,1,TRUE
26756,61838,1,?,1,?,1,1,1,1,1,TRUE
60032,65967,1,?,1,?,1,1,1,1,1,TRUE
84808,84810,1,?,1,?,1,1,1,1,1,TRUE
19845,41058,1,?,1,?,1,1,1,1,1,TRUE
5947,72075,1,?,1,?,1,1,1,1,1,TRUE
18313,24363,1,?,1,?,1,1,1,1,1,TRUE
17676,44054,1,?,1,?,1,1,1,1,1,TRUE
10784,14152,1,?,1,?,1,1,1,1,1,TRUE
10996,72815,0.25,?,0.25,?,1,1,1,1,1,TRUE
43920,72193,1,?,1,?,1,1,1,1,1,TRUE
28464,69899,1,?,1,?,1,1,1,1,1,TRUE
25306,28302,1,?,1,?,1,1,1,1,1,TRUE
13260,34548,1,?,1,?,1,1,1,1,1,TRUE
83862,85842,1,?,1,?,1,1,1,1,1,TRUE
19563,30319,1,?,1,?,1,1,1,1,1,TRUE
41967,83896,0.875,?,1,?,1,1,1,1,1,TRUE
1763,64724,1,?,1,?,1,1,1,1,1,TRUE
38604,44034,1,1,1,?,1,1,1,1,1,TRUE
43214,48853,1,?,1,?,1,1,1,1,1,TRUE
48021,95459,1,?,1,?,1,1,1,1,1,TRUE
3751,3752,1,?,1,?,1,1,1,1,1,TRUE
11585,11972,1,?,1,?,1,1,1,1,1,TRUE
1857,1884,1,?,1,?,1,1,1,1,1,TRUE
38118,59788,1,?,1,?,1,1,1,1,1,TRUE
17431,20446,1,?,1,?,1,1,1,1,1,TRUE
33395,49625,1,?,1,?,1,1,1,1,1,TRUE
27885,32872,1,?,1,?,1,1,1,1,1,TRUE
29875,42368,1,?,1,?,1,1,1,1,1,TRUE
23243,76268,1,?,1,?,1,1,1,1,1,TRUE
48837,63106,1,1,1,?,1,1,1,1,1,TRUE
35400,43913,1,?,1,?,1,1,1,1,1,TRUE
2702,5962,1,?,1,?,0,1,1,1,1,TRUE
35709,43859,1,?,1,1,1,1,1,1,1,TRUE
9885,86926,1,1,1,?,1,1,1,1,1,TRUE
4375,61891,1,?,1,?,1,1,1,1,1,TRUE
35701,84881,1,?,1,?,1,1,1,1,1,TRUE
27907,41092,1,?,1,?,1,1,1,1,1,TRUE
48106,72933,1,?,1,?,1,0,0,1,1,TRUE
34697,41334,1,?,1,?,1,1,1,1,1,TRUE
76874,79017,1,?,1,?,1,1,1,1,1,TRUE
35670,48804,1,?,1,?,1,1,1,1,1,TRUE
69439,69448,1,?,1,?,1,1,1,1,1,TRUE
45793,94527,1,?,1,?,1,1,1,1,1,TRUE
31899,37198,1,?,1,?,1,1,1,1,1,TRUE
46074,58332,1,?,1,?,1,1,1,1,1,TRUE
96438,96451,1,?,1,?,1,1,1,1,1,TRUE
17247,26452,1,?,1,?,1,1,1,1,1,TRUE
17690,22832,1,?,1,?,1,1,1,1,1,TRUE
36098,52230,1,?,1,?,1,1,1,1,0,TRUE
21325,59892,1,?,1,?,1,1,1,1,1,TRUE
42976,66077,1,?,1,?,1,1,1,1,0,TRUE
5237,70862,1,?,1,?,1,1,1,1,1,TRUE
16472,64283,1,?,1,?,1,1,1,1,1,TRUE
26353,48169,1,?,1,?,1,1,1,1,1,TRUE
44394,88861,1,?,1,?,1,1,1,1,1,TRUE
41154,54204,1,?,1,?,1,1,1,1,1,TRUE
25738,34891,1,?,1,?,1,1,1,1,1,TRUE
30066,31819,1,?,1,?,1,1,1,1,1,TRUE
40080,93119,1,?,1,?,1,1,1,1,1,TRUE
30242,41430,1,?,1,?,1,1,1,1,1,TRUE
14820,41337,1,?,1,?,1,1,1,1,1,TRUE
29446,43844,1,?,1,?,1,1,1,1,1,TRUE
1806,1841,1,?,1,?,1,1,1,1,1,TRUE
49842,49901,1,?,1,?,1,1,1,1,1,TRUE
34563,44884,1,?,1,?,1,1,1,1,1,TRUE
33375,36820,1,?,1,?,1,1,1,1,1,TRUE
15516,59867,1,?,1,?,1,1,1,1,1,TRUE
7182,7464,1,?,1,?,1,1,1,1,1,TRUE
21362,31859,1,?,1,?,1,1,1,1,1,TRUE
73204,79717,1,?,1,?,1,1,1,1,1,TRUE
9675,12966,1,?,1,?,1,1,1,1,1,TRUE
95061,95062,1,?,1,?,1,1,1,1,1,TRUE
22181,93515,1,?,1,?,1,1,1,1,1,TRUE
54522,57955,1,?,1,?,1,1,1,1,1,TRUE
60061,69354,1,?,1,?,1,1,1,1,1,TRUE
53795,60343,1,?,1,?,1,1,1,1,1,TRUE
36671,78410,1,?,1,?,1,1,1,1,0,TRUE
